Model,Training Accuracy,Validation Accuracy,Test Accuracy,Precision,Recall,F1-Score
SVM,0.9947141466128808,0.9860434923726062,0.9851996105160662,0.9861519152153817,0.9860434923726062,0.986048098468288
XGBoost,1.0,0.9827977929243752,0.9793573515092503,0.9829001311314858,0.9827977929243752,0.9828167642467432
Random Forest,1.0,0.9759818240830899,0.9731256085686465,0.9762348812628373,0.9759818240830899,0.9760169097301791
Logistic Regression,0.8506050911114202,0.8453424212917884,0.843427458617332,0.8458918341455596,0.8453424212917884,0.8441889494126839
